PartcipantID:be25
block;trial;answer;correct;timeSpent;randomYes(1=Left:No/Right:Yes);instanceNumber;xyCoordinates;error
1;1;0;0;2.000536;1;18;(6.5,1.5)(4.5,0.5)(1,6)(2,4)(7.5,4.5)(0.5,0.5);
1;2;0;1;2.002332;1;7;(7.5,5.5)(7,0.5)(1.5,6)(7,2.5)(1.5,3.5)(2,1);
1;3;1;0;2.003184;0;6;(8,4.5)(3.5,5.5)(0.5,1.5)(1,5)(6,1.5)(3,0.5);
1;4;0;1;2.002809;1;50;(1.5,3.5)(1,1)(6.5,1)(3,6)(6.5,5)(0.5,6);
1;5;1;1;2.004269;1;57;(7.5,3.5)(4.5,6)(2,6)(7.5,0.5)(1,1.5)(0,3.5);
1;6;0;1;2.00318;1;47;(5,0)(7,1)(0,4.5)(7,6)(8,3.5)(3.5,6);
1;7;0;1;2.002585;1;46;(0,1.5)(5,6)(7,3)(6.5,1)(0.5,6)(2.5,1);
1;8;1;1;2.003086;0;71;(7,1.5)(7,4.5)(5,1)(0.5,2)(0,6)(2,5.5);
1;9;1;1;2.003222;0;64;(8,2)(0.5,3.5)(3.5,1)(7.5,4.5)(4,5.5)(0,1.5);
1;10;0;1;2.003145;1;54;(7.5,6)(0,4)(8,1.5)(2,6)(-0.5,1)(7,4);
1;11;0;1;2.005364;0;52;(6,1)(1.5,5)(3.5,0.5)(6,5)(4,6)(8,2);
1;12;1;1;2.00539;0;69;(5.5,1)(0,5)(-0.5,0.5)(2,0.5)(7.5,5)(3.5,6);
1;13;0;1;2.003703;0;8;(7,2)(7,6)(1.5,1.5)(0.5,5)(3.5,1)(6,4);
1;14;1;1;2.003067;0;65;(6.5,1.5)(4,6)(6.5,6)(1.5,4)(0.5,2)(3.5,0.5);
1;15;0;0;2.003072;1;36;(3,6)(7,4)(0.5,1)(7.5,1)(0.5,5)(5,1);
1;16;0;1;2.002705;0;37;(6.5,3.5)(0.5,1)(0.5,4)(6.5,1.5)(3.5,6)(3,0.5);
1;17;0;0;2.003482;1;12;(7,2)(0,4.5)(7.5,6)(3.5,0.5)(1.5,1)(3.5,6);
1;18;0;1;2.003378;0;24;(8,0.5)(1,1)(8,3.5)(0,3.5)(0,5.5)(5,0.5);
1;19;1;1;2.001773;0;31;(1.5,4.5)(8,5)(1.5,1.5)(7,1.5)(4,0.5)(5,6);
1;20;0;1;2.001187;1;21;(0,3)(7.5,1.5)(3,6)(7.5,5)(2.5,1)(0.5,6);
1;21;1;1;2.002546;1;28;(7,0.5)(8,3.5)(0,3)(2.5,6)(5.5,5.5)(3,0.5);
1;22;1;1;2.003093;0;17;(3,0.5)(0,2)(6.5,3.5)(0.5,5.5)(6.5,5.5)(3.5,6);
1;23;1;1;2.004541;0;68;(1,4.5)(7,1.5)(6.5,5.5)(3,6)(0.5,1)(5,1);
1;24;0;1;2.004225;1;26;(0,0.5)(1,6)(7.5,3.5)(5.5,6)(4,0.5)(1.5,3);
2;1;1;1;2.003323;1;55;(0,2)(7.5,1)(1,6)(6,5.5)(6.5,3)(2,1);
2;2;0;1;2.003224;0;25;(3.5,0.5)(2,4.5)(6,0.5)(6.5,6)(8,3.5)(0.5,0.5);
2;3;1;0;2.0032;1;5;(7.5,4)(1,2.5)(7.5,2)(4.5,6)(5,0.5)(2,6);
2;4;1;1;2.003494;0;62;(4.5,0.5)(0.5,3)(7,1.5)(4,6)(1.5,5.5)(7.5,3.5);
2;5;1;1;2.004676;0;70;(1,3)(5.5,6)(6.5,2.5)(2.5,0.5)(8,5)(3,6);
2;6;0;0;2.003292;1;13;(8,3)(8,5)(2,6)(0,2.5)(4,1)(5,6);
2;7;0;0;2.003802;0;67;(6,0.5)(5.5,5.5)(1,4)(8,4.5)(2.5,0.5)(0.5,1.5);
2;8;0;1;2.001483;0;39;(2,6)(4.5,0.5)(7,5.5)(1,1.5)(7.5,3)(6.5,0.5);
2;9;0;0;2.003452;1;14;(4,6)(1,1.5)(1,4.5)(7,2.5)(8,6)(3.5,0.5);
2;10;0;1;2.00359;0;48;(0,4.5)(6,0)(7.5,4)(2,6)(1.5,1)(8,1.5);
2;11;0;1;2.001426;0;19;(0.5,5)(5.5,5.5)(8,5.5)(6.5,3)(0.5,1)(8,1.5);
2;12;0;1;2.003981;1;1;(1.5,1)(1,3.5)(8,6)(6,0.5)(3.5,5.5)(6,5);
2;13;1;1;2.00349;1;16;(1.5,3.5)(7,2.5)(6,5)(2,6)(6.5,0.5)(2,1);
2;14;0;1;2.003447;1;40;(1.5,5)(6.5,4.5)(7,0.5)(0,1)(1,3)(4,0.5);
2;15;0;1;2.004307;1;38;(6.5,5.5)(8,2)(1.5,5)(1.5,1)(6,1)(4,6);
2;16;1;1;2.002765;0;56;(4.5,0.5)(6.5,1)(0,2)(6,5.5)(2,6)(8,4);
2;17;0;1;2.005189;0;4;(6.5,4.5)(0,3.5)(4,6)(2.5,0.5)(6.5,1.5)(0.5,1);
2;18;1;1;2.002318;1;32;(1,1.5)(6,1)(2,5.5)(8,2.5)(6.5,5.5)(0.5,4);
2;19;0;1;2.001019;0;44;(0,1)(7.5,2)(7.5,6)(3.5,0.5)(0,5)(2,6);
2;20;1;1;2.002545;0;30;(-0.5,1.5)(7.5,2)(0,4.5)(5,5.5)(4.5,0.5)(1.5,1);
2;21;1;0;2.001803;0;22;(7.5,6)(1,5)(4,6)(0,1.5)(8,0.5)(3,0.5);
2;22;1;1;2.004654;1;33;(0,2)(7,4)(2,0.5)(0.5,5)(3,6)(4,0.5);
2;23;0;1;2.003988;1;49;(1.5,2.5)(7,3)(0.5,5.5)(6,5.5)(3,0.5)(3.5,6);
