PartcipantID:be32
InitialTimeStamp:14-53-08-740
1:ItemsNoQuestion;11:ItemsWithQuestion;2:AnswerScreen;21:ParticipantsAnswer;3:InterTrialScreen;4:InterBlockScreen;5:EndScreen
block;trial;eventType;elapsedTime
1;1;1;51
1;1;11;3050
1;1;2;25067
1;1;21;25962
1;1;3;27097
1;2;1;32133
1;2;11;35139
1;2;2;57154
1;2;21;57921
1;2;3;59171
1;3;1;64211
1;3;11;67213
1;3;2;89231
1;3;21;90025
1;3;3;91253
1;4;1;96294
1;4;11;99298
1;4;2;121316
1;4;21;122155
1;4;3;123333
1;5;1;128371
1;5;11;131378
1;5;2;153395
1;5;3;155410
1;6;1;160449
1;6;11;163453
1;6;2;185471
1;6;21;186517
1;6;3;187489
1;7;1;192525
1;7;11;195530
1;7;2;217546
1;7;21;218785
1;7;3;219573
1;8;1;224613
1;8;11;227619
1;8;2;249638
1;8;21;251222
1;8;3;251655
1;9;1;256692
1;9;11;259698
1;9;2;281728
1;9;21;282935
1;9;3;283759
1;10;1;288800
1;10;11;291803
1;10;2;313819
1;10;21;314962
1;10;3;315835
1;11;1;320875
1;11;11;323876
1;11;2;345893
1;11;21;347054
1;11;3;347911
1;12;1;352951
1;12;11;355959
1;12;2;377976
1;12;21;378867
1;12;3;380001
1;13;1;385040
1;13;11;388046
1;13;2;410063
1;13;21;410980
1;13;3;412082
1;14;1;417123
1;14;11;420125
1;14;2;442142
1;14;21;443188
1;14;3;444173
1;15;1;449215
1;15;11;452220
1;15;2;474239
1;15;21;475420
1;15;3;476256
1;16;1;481298
1;16;11;484299
1;16;2;506317
1;16;21;507222
1;16;3;508334
1;17;1;513368
1;17;11;516372
1;17;2;538389
1;17;21;539250
1;17;3;540407
1;18;1;545452
1;18;11;548455
1;18;2;570471
1;18;21;571409
1;18;3;572502
1;19;1;577546
1;19;11;580552
1;19;2;602568
1;19;21;603531
1;19;3;604587
1;20;1;609626
1;20;11;612631
1;20;2;634648
1;20;21;636199
1;20;3;636676
1;21;1;641718
1;21;11;644727
1;21;2;666754
1;21;21;667685
1;21;3;668775
1;22;1;673813
1;22;11;676820
1;22;2;698838
1;22;21;699840
1;22;3;700853
1;23;1;705891
1;23;11;708895
1;23;2;730911
1;23;21;731869
1;23;3;732932
1;24;1;737974
1;24;11;740976
1;24;2;763004
1;24;21;763850
1;24;3;765035
2;0;4;770076
2;1;1;830119
2;1;11;833125
2;1;2;855142
2;1;21;856191
2;1;3;857171
2;2;1;862213
2;2;11;865221
2;2;2;887240
2;2;21;888142
2;2;3;889258
2;3;1;894298
2;3;11;897306
2;3;2;919324
2;3;21;920237
2;3;3;921338
2;4;1;926379
2;4;11;929386
2;4;2;951403
2;4;21;952429
2;4;3;953423
2;5;1;958464
2;5;11;961473
2;5;2;983500
2;5;21;984557
2;5;3;985519
2;6;1;990560
2;6;11;993565
2;6;2;1015592
2;6;21;1017128
2;6;3;1017623
2;7;1;1022660
2;7;11;1025664
2;7;2;1047690
2;7;21;1048638
2;7;3;1049720
2;8;1;1054760
2;8;11;1057764
2;8;2;1079781
2;8;21;1080628
2;8;3;1081799
2;9;1;1086836
2;9;11;1089843
2;9;2;1111861
2;9;21;1112682
2;9;3;1113879
2;10;1;1118921
2;10;11;1121929
2;10;2;1143947
2;10;21;1144793
2;10;3;1145967
2;11;1;1151010
2;11;11;1154015
2;11;2;1176032
2;11;21;1176967
2;11;3;1178049
2;12;1;1183093
2;12;11;1186099
2;12;2;1208115
2;12;21;1209009
2;12;3;1210136
2;13;1;1215173
2;13;11;1218182
2;13;2;1240201
2;13;21;1240915
2;13;3;1242218
2;14;1;1247257
2;14;11;1250263
2;14;2;1272290
2;14;21;1273073
2;14;3;1274317
2;15;1;1279358
2;15;11;1282361
2;15;2;1304377
2;15;21;1305192
2;15;3;1306393
2;16;1;1311432
2;16;11;1314438
2;16;2;1336455
2;16;21;1337650
2;16;3;1338484
2;17;1;1343525
2;17;11;1346529
2;17;2;1368544
2;17;21;1369451
2;17;3;1370633
2;18;1;1375676
2;18;11;1378681
2;18;2;1400698
2;18;21;1401887
2;18;3;1402713
2;19;1;1407752
2;19;11;1410758
2;19;2;1432786
2;19;21;1434521
2;19;3;1434816
2;20;1;1439856
2;20;11;1442863
2;20;2;1464878
2;20;21;1465687
2;20;3;1466901
2;21;1;1471939
2;21;11;1474945
2;21;2;1496960
2;21;21;1497795
2;21;3;1498981
2;22;1;1504021
2;22;11;1507029
2;22;2;1529044
2;22;21;1530358
2;22;3;1531062
2;23;1;1536100
2;23;11;1539104
2;23;2;1561120
2;23;21;1561991
2;23;3;1563140
2;24;1;1568178
2;24;11;1571182
2;24;2;1593210
2;24;21;1594280
2;24;3;1595228
3;0;4;1600255
3;1;1;1660298
3;1;11;1663300
3;1;2;1685328
3;1;21;1686226
3;1;3;1687359
3;2;1;1692402
3;2;11;1695408
3;2;2;1717425
3;2;21;1718350
3;2;3;1719455
3;3;1;1724499
3;3;11;1727499
3;3;2;1749517
3;3;21;1750397
3;3;3;1751539
3;4;1;1756578
3;4;11;1759580
3;4;2;1781595
3;4;21;1782488
3;4;3;1783616
3;5;1;1788655
3;5;11;1791656
3;5;2;1813675
3;5;21;1814418
3;5;3;1815705
3;6;1;1820748
3;6;11;1823754
3;6;2;1845770
3;6;21;1846511
3;6;3;1847789
3;7;1;1852830
3;7;11;1855839
3;7;2;1877856
3;7;21;1879222
3;7;3;1879872
3;8;1;1884914
3;8;11;1887919
3;8;2;1909936
3;8;21;1910805
3;8;3;1911954
3;9;1;1916993
3;9;11;1920002
3;9;2;1942018
3;9;21;1942848
3;9;3;1944037
3;10;1;1949079
3;10;11;1952082
3;10;2;1974098
3;10;21;1975114
3;10;3;1976117
3;11;1;1981154
3;11;11;1984157
3;11;2;2006174
3;11;21;2007121
3;11;3;2008204
3;12;1;2013243
3;12;11;2016247
3;12;2;2038265
3;12;21;2039129
3;12;3;2040284
3;13;1;2045327
3;13;11;2048332
3;13;2;2070349
3;13;21;2071540
3;13;3;2072363
3;14;1;2077404
3;14;11;2080411
3;14;2;2102430
3;14;21;2103310
3;14;3;2104447
3;15;1;2109488
3;15;11;2112492
3;15;2;2134508
3;15;21;2135321
3;15;3;2136527
3;16;1;2141567
3;16;11;2144571
3;16;2;2166589
3;16;21;2167477
3;16;3;2168602
3;17;1;2173644
3;17;11;2176648
3;17;2;2198676
3;17;21;2199534
3;17;3;2200708
3;18;1;2205747
3;18;11;2208757
3;18;2;2230773
3;18;21;2232348
3;18;3;2232801
3;19;1;2237840
3;19;11;2240848
3;19;2;2262864
3;19;21;2264002
3;19;3;2264892
3;20;1;2269932
