PartcipantID:be15
InitialTimeStamp:11-19-02-338
block;trial;item;In(1)/Out(0);time
1;1;4;1;4.345936
1;1;2;1;5.314369
1;1;5;1;10.51729
1;2;6;1;3.228104
1;2;2;1;7.765118
1;2;5;1;16.01954
1;3;5;1;2.924496
1;3;1;1;6.454277
1;3;6;1;9.72794
1;3;3;1;11.54974
1;3;4;1;12.455
1;3;6;0;15.84769
1;4;4;1;4.53223
1;4;3;1;5.199951
1;4;6;1;6.806828
1;4;6;0;7.607098
1;4;2;1;8.303703
1;4;2;0;9.471531
1;4;6;1;10.79805
1;4;1;1;11.93755
1;4;6;0;15.00166
1;5;2;1;2.408577
1;5;3;1;4.415897
1;5;1;1;6.536392
1;6;5;1;3.649315
1;6;2;1;5.293839
1;6;3;1;6.652504
1;6;1;1;8.617928
1;6;3;0;16.24276
1;6;3;1;17.02849
1;6;3;0;38.4529
1;7;5;1;3.969444
1;7;3;1;7.353584
1;7;3;0;7.928543
1;7;6;1;9.887192
1;7;6;0;12.18765
1;7;4;1;25.26867
1;7;4;0;26.48225
1;7;1;1;37.13703
1;7;4;1;38.37851
1;7;1;0;58.06023
1;7;6;1;58.73821
1;8;1;1;4.359524
1;8;2;1;7.38475
1;8;4;1;17.91282
1;8;6;1;23.28561
1;8;6;0;36.82415
1;8;4;0;37.46827
1;8;3;1;38.32543
1;9;3;1;2.596111
1;9;2;1;4.515537
1;9;4;1;5.291397
1;9;4;0;6.981239
1;9;5;1;11.74699
1;9;4;1;14.64556
1;9;3;0;35.81462
1;9;5;0;36.50092
1;9;3;1;41.3549
1;9;4;0;43.07212
1;9;1;1;44.21609
1;9;1;0;45.17633
1;9;1;1;48.70826
2;1;5;1;7.085602
2;1;6;1;8.717831
2;1;6;0;9.221375
2;1;1;1;11.41364
2;1;1;0;22.00613
2;1;3;1;23.06146
2;1;6;1;31.25758
2;2;3;1;3.012913
2;2;5;1;5.279991
2;2;5;0;6.290459
2;2;5;1;13.25621
2;2;6;1;14.25065
2;2;6;0;59.25893
2;3;3;1;3.171936
2;3;1;1;4.310299
2;3;6;1;6.87035
2;3;5;1;9.274666
2;3;6;0;12.00797
2;4;2;1;3.329704
2;4;5;1;4.718506
2;4;6;1;5.788559
2;4;1;1;21.52315
2;5;3;1;6.219265
2;5;6;1;8.570839
2;5;5;1;15.28508
2;5;5;0;17.15297
2;5;1;1;17.79671
2;5;2;1;18.38884
2;6;6;1;4.408188
2;6;1;1;5.3983
2;6;5;1;8.241993
2;7;6;1;3.717735
2;7;2;1;6.748386
2;7;4;1;7.950142
2;7;5;1;19.20499
2;8;6;1;1.778599
2;8;2;1;5.882271
2;8;5;1;6.641262
2;8;5;0;7.056835
2;8;1;1;8.074162
2;8;3;1;15.77719
2;8;3;0;34.38438
2;9;1;1;3.216404
2;9;3;1;8.010132
2;9;3;0;9.751297
2;9;5;1;16.28777
2;9;2;1;27.37113
