PartcipantID:be18
InitialTimeStamp:16-11-34-886
1:ItemsNoQuestion;11:ItemsWithQuestion;2:AnswerScreen;21:ParticipantsAnswer;3:InterTrialScreen;4:InterBlockScreen;5:EndScreen
block;trial;eventType;elapsedTime
1;1;1;64
1;1;11;90
1;1;21;30034
1;1;3;30061
1;2;1;40120
1;2;11;40143
1;2;21;80304
1;2;3;80331
1;3;1;90391
1;3;11;90415
1;3;21;138125
1;3;3;138151
1;4;1;148211
1;4;11;148234
1;4;21;185793
1;4;3;185821
1;5;1;195880
1;5;11;195903
1;5;21;248131
1;5;3;248159
1;6;1;258217
1;6;11;258240
1;6;21;310935
1;6;3;310963
1;7;1;321022
1;7;11;321044
1;7;21;362604
1;7;3;362642
1;8;1;372693
1;8;11;372717
1;8;21;396590
1;8;3;396618
1;9;1;406677
1;9;11;406699
1;9;21;445343
1;9;3;445371
2;0;4;455428
2;1;1;515482
2;1;11;515507
2;1;21;567267
2;1;3;567295
2;2;1;577354
2;2;11;577378
2;2;21;626154
2;2;3;626181
2;3;1;636240
2;3;11;636264
2;3;21;680041
2;3;3;680068
2;4;1;690128
2;4;11;690151
2;4;21;744378
2;4;3;744407
2;5;1;754463
2;5;11;754487
2;5;21;774113
2;5;3;774142
2;6;1;784201
2;6;11;784224
2;6;21;839001
2;6;3;839029
2;7;1;849088
2;7;11;849111
2;7;21;891737
2;7;3;891765
2;8;1;901823
2;8;11;901847
2;8;21;924822
2;8;3;924851
2;9;1;934909
2;9;11;934932
2;9;21;968458
2;9;3;968486
2;9;5;978541
