PartcipantID:be19
block;trial;submitted;timeSpent;instanceNumber;capacity;itemsSelected;capacitySel;profitSel;itemsOpt;capacityOpt;profitOpt;correct;xyCoordinates;error
1;1;0;60.00104;18;52;1,1,1,0,0,0;49;113;1,1,1,0,0,0;49;113;1;(2.5,0.5)(0,5.5)(7.5,6)(3.5,5.5)(0,1)(7.5,2);
1;2;0;60.00212;17;85;0,1,0,1,1,0;70;95;0,1,0,1,1,0;70;95;1;(0,0.5)(6.5,5)(7,0.5)(1.5,4.5)(4.5,0.5)(0,3);
1;3;0;60.00106;11;95;1,0,1,1,0,0;90;129;1,0,1,1,0,0;90;129;1;(1,3)(5.5,0.5)(5.5,5.5)(8,4)(0.5,6)(8,2);
1;4;0;60.00304;4;72;1,0,1,0,0,1;67;85;1,0,1,0,0,1;67;85;1;(0.5,3)(7.5,3)(4.5,5.5)(7.5,6)(5,0.5)(7.5,0.5);
1;5;0;60.00163;2;47;1,1,0,0,1,0;42;120;1,1,0,0,1,0;42;120;1;(0.5,4.5)(7.5,2)(1,2.5)(6,6)(4.5,0.5)(8,5);
1;6;0;60.00024;3;53;1,1,1,0,0,1;52;96;1,1,1,0,0,1;52;96;1;(0.5,2)(0.5,6)(6,5.5)(7.5,3)(7,0.5)(2.5,6);
1;7;0;60.00185;8;82;0,0,0,1,1,1;76;86;0,0,0,1,1,1;76;86;1;(1.5,3.5)(1,0.5)(7.5,3)(2.5,5.5)(6,5)(5.5,0.5);
1;8;0;60.00047;13;66;1,0,1,0,1,0;45;78;1,1,0,0,1,0;64;79;0;(1,0)(6.5,5)(0.5,3)(1.5,6)(8,0.5)(5.5,1);
1;9;0;60.00006;7;61;0,1,0,0,1,1;35;114;0,1,0,0,1,1;35;114;1;(0,1.5)(0.5,5)(8,1.5)(5.5,6)(3,6)(1.5,2.5);
2;1;0;60.00184;6;92;0,0,1,0,1,1;89;93;0,0,1,0,1,1;89;93;1;(4,0.5)(5.5,5.5)(1,2)(0.5,5)(7,3)(7.5,6);
2;2;0;60.00103;1;69;1,1,1,0,0,0;56;126;1,1,1,0,0,0;56;126;1;(5,6)(0,3.5)(7,2)(2.5,6)(0,0.5)(7.5,6);
2;3;0;60.00092;10;56;1,0,0,0,1,1;52;94;1,0,1,0,0,1;46;94;1;(4,5.5)(6.5,1)(0.5,0.5)(7.5,5)(1.5,5.5)(3.5,0.5);
2;4;0;60.00285;14;55;0,1,0,1,1,1;46;145;0,1,0,1,1,1;46;145;1;(0,3)(6.5,1)(2,6)(2.5,0.5)(7,4.5)(4.5,6);
2;5;0;60.00048;9;55;0,1,0,0,1,1;54;81;0,1,0,0,1,1;54;81;1;(1.5,0.5)(7,0.5)(7.5,6)(1.5,6)(4,5.5)(0,3.5);
2;6;0;60.00241;16;70;1,1,0,0,0,1;31;70;1,1,0,0,0,1;31;70;1;(8,4)(2,5)(0,3)(8,1)(0,1)(6,5);
2;7;0;60.00277;12;83;1,0,0,0,1,1;79;111;1,0,0,0,1,1;79;111;1;(8,1)(0.5,1)(1,3.5)(6.5,5)(1,6)(4.5,5.5);
2;8;0;60.0007;15;39;1,0,1,1,1,0;33;58;1,0,1,1,1,0;33;58;1;(0,0.5)(6.5,1.5)(8,5)(1.5,5.5)(1,3)(4.5,0.5);
2;9;0;60.00119;5;57;1,1,1,0,0,0;57;90;1,1,1,0,0,0;57;90;1;(7.5,1)(0.5,3.5)(7,5)(2,1)(8.5,3.5)(1.5,6);
