PartcipantID:be26
instanceNumber;c;w;v;id;type;pOpt;cOpt;itemsOpt
1;69;29,8,19,41,40,32;47,40,39,44,23,11;144-0.41;1;126;56;1,1,1,0,0,0
2;47;11,16,6,34,15,35;31,41,10,24,48,38;215-0.41;1;120;42;1,1,0,0,1,0
3;53;23,7,3,49,29,19;24,7,37,43,21,28;182-0.41;1;96;52;1,1,1,0,0,1
4;72;43,9,7,47,49,17;31,2,38,8,41,16;221-0.42;1;85;67;1,0,1,0,0,1
5;57;33,19,5,37,2,42;13,37,40,32,5,16;196-0.42;1;90;57;1,1,1,0,0,0
6;92;46,47,30,48,36,23;38,21,39,2,38,16;248-0.4;1;93;89;0,0,1,0,1,1
7;61;27,18,49,40,8,9;7,37,48,9,44,33;176-0.41;3;114;35;0,1,0,0,1,1
8;82;37,34,45,18,20,38;18,8,25,14,46,26;19-0.43;3;86;76;0,0,0,1,1,1
9;55;21,30,16,33,1,23;12,41,26,13,10,30;212-0.45;3;81;54;0,1,0,0,1,1
10;56;1,38,8,39,14,37;21,18,35,3,35,38;38-0.41;3;94;46;1,0,1,0,0,1
11;95;38,44,29,23,39,39;44,33,40,45,13,38;249-0.45;3;129;90;1,0,1,1,0,0
12;83;20,37,42,27,43,16;37,19,38,13,47,27;194-0.45;3;111;79;1,0,0,0,1,1
13;66;1,34,15,43,29,43;47,7,6,4,25,4;227-0.4;5;79;64;1,1,0,0,1,0
14;55;46,1,32,5,35,5;8,33,16,43,30,39;2-0.45;5;145;46;0,1,0,1,1,1
15;39;7,39,8,10,8,24;11,4,7,9,31,7;95-0.41;5;58;33;1,0,1,1,1,0
16;70;10,17,41,47,49,4;14,19,7,2,3,37;225-0.42;5;70;31;1,1,0,0,0,1
17;85;45,23,36,14,33,40;9,34,2,45,16,2;135-0.45;5;95;70;0,1,0,1,1,0
18;52;2,23,24,12,41,14;48,38,27,5,2,13;35-0.45;5;113;49;1,1,1,0,0,0
